AK,AL,Don Young,R,Yes,Safe R,7
CA,22,Devin Nunes,R,Yes,Safe R,7
CA,23,Kevin McCarthy,R,Yes,Safe R,7
CA,24,Salud Carbajal,D,Yes,Likely D,2
CA,25,Steve Knight,R,Yes,Toss-up,4
CA,26,Julia Brownley,D,Yes,Safe D,1
CA,27,Judy Chu,D,Yes,Safe D,1
CA,28,Adam Schiff,D,Yes,Safe D,1
CA,29,Tony Cardenas,D,Yes,Safe D,1
CA,30,Brad Sherman,D,Yes,Safe D,1
CA,31,Pete Aguilar,D,Yes,Safe D,1
CA,32,Grace Napolitano,D,Yes,Safe D,1
CA,33,Ted Lieu,D,Yes,Safe D,1
CA,34,Jimmy Gomez,D,Yes,Safe D,1
CA,35,Norma Torres,D,Yes,Safe D,1
CA,36,Raul Ruiz,D,Yes,Safe D,1
CA,37,Karen Bass,D,Yes,Safe D,1
CA,38,Linda Sanchez,D,Yes,Safe D,1
CA,39,Ed Royce,R,No,Toss-up,4
CA,40,Lucille Roybal-Allard,D,Yes,Safe D,1
CA,41,Mark Takano,D,Yes,Safe D,1
CA,42,Ken Calvert,R,Yes,Safe R,7
CA,43,Maxine Waters,D,Yes,Safe D,1
CA,44,Nanette Barragan,D,Yes,Safe D,1
CA,45,Mimi Walters,R,Yes,Leans R,5
CA,46,Lou Correa,D,Yes,Safe D,1
CA,47,Alan Lowenthal,D,Yes,Safe D,1
CA,48,Dana Rohrabacher,R,Yes,Toss-up,4
CA,49,Darrell Issa,R,No,Leans D (flip),3
CA,50,Duncan Hunter,R,Yes,Safe R,7
CA,51,Juan Vargas,D,Yes,Safe D,1
CA,52,Scott Peters,D,Yes,Safe D,1
CA,53,Susan Davis,D,Yes,Safe D,1
CO,1,Diana DeGette,D,Yes,Safe D,1
CO,2,Jared Polis,D,No,Safe D,1
CO,3,Scott Tipton,R,Yes,Safe R,7
CO,4,Ken Buck,R,Yes,Safe R,7
CO,5,Doug Lamborn,R,Yes,Safe R,7
CO,6,Mike Coffman,R,Yes,Toss-up,4
CO,7,Ed Perlmutter,D,Yes,Safe D,1
CT,1,John Larson,D,Yes,Safe D,1
CT,2,Joe Courtney,D,Yes,Safe D,1
CT,3,Rosa DeLauro,D,Yes,Safe D,1
CT,4,Jim Himes,D,Yes,Safe D,1
CT,5,Elizabeth Esty,D,Yes,Safe D,1
FL,1,Matt Gaetz,R,Yes,Safe R,7
FL,2,Neal Dunn,R,Yes,Safe R,7
FL,3,Ted Yoho,R,Yes,Safe R,7
FL,4,John Rutherford,R,Yes,Safe R,7
FL,5,Al Lawson,D,Yes,Safe D,1
FL,6,Ron DeSantis,R,No,Likely R,6
FL,7,Stephanie Murphy,D,Yes,Leans D,3
FL,8,Bill Posey,R,Yes,Safe R,7
FL,9,Darren Soto,D,Yes,Safe D,1
FL,10,Val Demings,D,Yes,Safe D,1
FL,11,Rich Nugent,R,Yes,Safe R,7
FL,12,Gus Bilirakis,R,Yes,Safe R,7
FL,13,Charlie Crist,D,Yes,Likely D,2
FL,14,Kathy Castor,D,Yes,Safe D,1
FL,15,Dennis Ross,R,Yes,Safe R,7
FL,16,Vern Buchanan,R,Yes,Safe R,7
FL,17,Tom Rooney,R,Yes,Safe R,7
FL,18,Brian Mast,R,Yes,Likely R,6
FL,19,Francis Rooney,R,Yes,Safe R,7
FL,20,Alcee Hastings,D,Yes,Safe D,1
FL,21,Lois Frankel,D,Yes,Safe D,1
